Name,Age,City,Salary
Eva,41,Houston,55497
Alice,43,Los Angeles,89248
David,57,Chicago,76835
David,40,New York,90430
David,33,Houston,120008
Bob,21,Houston,149710
David,28,Houston,119173
Charlie,59,New York,131919
Eva,29,Phoenix,57197
Alice,37,Phoenix,132745
Alice,45,New York,96415
Eva,43,Houston,60863
Charlie,30,Chicago,117648
Bob,46,New York,82435
Alice,33,Houston,71749
Bob,51,Houston,96578
Bob,41,Los Angeles,52390
Alice,53,New York,106546
Bob,21,Phoenix,85289
Eva,52,Houston,51960
David,26,Phoenix,67779
Alice,54,Phoenix,57392
David,50,Los Angeles,89862
Alice,46,Los Angeles,119341
Charlie,58,New York,87060
David,56,New York,125189
Alice,37,Houston,127880
Bob,32,Chicago,149438
David,59,Houston,91289
David,45,Phoenix,70351
David,20,New York,136166
Alice,58,New York,78956
Bob,50,New York,80040
Bob,56,New York,63309
Bob,58,Chicago,89766
Alice,48,Houston,101716
Charlie,43,New York,87716
Eva,35,Chicago,60836
David,58,Los Angeles,126478
David,58,Chicago,149421
Charlie,42,New York,82748
Eva,27,New York,53059
Charlie,57,Chicago,69892
Alice,22,New York,106462
Alice,33,New York,87316
Eva,40,Chicago,136766
Alice,49,Houston,109907
Eva,52,Phoenix,88329
Bob,39,Houston,84738
Eva,42,Chicago,147926
Bob,42,New York,50586
Charlie,57,Houston,129310
Charlie,54,Chicago,65506
Alice,58,Chicago,127247
Bob,41,Los Angeles,75688
Bob,48,New York,62104
Bob,54,Los Angeles,106604
Bob,21,Phoenix,123338
David,37,Chicago,120840
David,54,Chicago,148514
Charlie,33,New York,77384
David,37,Los Angeles,89565
Alice,51,Los Angeles,83279
David,41,New York,134210
Eva,54,Los Angeles,148203
Bob,21,New York,68098
Charlie,25,Los Angeles,117343
Eva,58,New York,116441
David,51,Phoenix,77885
Eva,48,New York,87983
Eva,58,New York,134363
Eva,24,Los Angeles,86061
David,57,Los Angeles,98969
Eva,27,New York,114136
Eva,23,New York,103679
Eva,41,Los Angeles,58473
Alice,41,Chicago,122397
Eva,46,Houston,98950
David,22,Phoenix,145808
Charlie,48,New York,122057
Alice,52,Los Angeles,134553
Bob,57,Houston,109360
Bob,53,New York,53250
David,55,Los Angeles,68747
Alice,52,Los Angeles,85033
Alice,59,Chicago,132899
Bob,37,New York,82062
Charlie,29,Houston,89161
Eva,55,Phoenix,70964
Charlie,42,Chicago,146626
Alice,25,Phoenix,73843
David,42,New York,97528
Charlie,29,Houston,145278
Charlie,21,Houston,111118
Alice,25,Houston,116589
Bob,24,Los Angeles,59446
Alice,27,Houston,55175
Charlie,39,Los Angeles,68141
Charlie,58,Houston,68580
David,33,Phoenix,88610
Charlie,31,Phoenix,59083
David,43,Houston,78992
Charlie,58,Houston,138726
Bob,31,Los Angeles,131129
Charlie,51,Los Angeles,146018
David,23,Los Angeles,85579
David,22,New York,99327
David,27,Los Angeles,125285
Charlie,22,Los Angeles,111906
David,45,New York,119629
Eva,25,Houston,119341
Bob,36,Chicago,115231
Charlie,28,New York,103682
David,37,Los Angeles,82903
Bob,48,New York,149479
Charlie,34,Phoenix,98479
Bob,26,Phoenix,101694
Eva,33,Houston,81847
Charlie,48,Los Angeles,149470
David,23,Phoenix,111757
Alice,58,New York,52969
David,24,Los Angeles,135842
Charlie,20,Houston,51860
David,31,Los Angeles,122415
Alice,58,Los Angeles,110001
Alice,26,New York,143375
Alice,40,Los Angeles,116886
David,26,New York,99441
Charlie,36,New York,100582
David,20,Los Angeles,141900
Alice,23,Houston,60092
Eva,25,Houston,126631
Alice,59,Chicago,72623
Alice,36,Phoenix,124727
Charlie,45,Los Angeles,118079
David,50,Los Angeles,52062
Charlie,47,New York,100601
David,31,Houston,88281
Alice,20,Los Angeles,114740
Alice,53,Houston,75624
Alice,45,Chicago,67267
David,34,Los Angeles,62293
Alice,54,New York,50412
Charlie,58,Houston,139695
Charlie,39,Phoenix,90982
Alice,54,Houston,58809
Eva,58,Houston,131354
David,41,Phoenix,98469
Eva,40,Houston,55790
Alice,46,Chicago,72482
Eva,55,Los Angeles,86921
David,47,Los Angeles,57134
David,23,Los Angeles,136494
Eva,45,Houston,79344
Bob,27,Phoenix,146809
David,24,Houston,89032
Alice,24,Los Angeles,54892
Alice,29,Phoenix,110996
Alice,24,Los Angeles,71994
Bob,53,Los Angeles,61519
Alice,30,Chicago,117478
Eva,43,Chicago,73792
Bob,52,Houston,111677
David,33,Chicago,55574
Bob,41,Phoenix,142009
Alice,48,New York,96444
Alice,43,Phoenix,106787
Eva,25,Los Angeles,83790
David,22,Los Angeles,112345
David,20,Chicago,87858
Bob,29,Los Angeles,114598
Alice,27,New York,53753
Alice,49,Houston,117899
Bob,41,Houston,123144
Charlie,36,Phoenix,105477
Alice,34,Houston,78828
David,39,Chicago,136935
Bob,57,Chicago,72788
Bob,46,Los Angeles,67789
Eva,32,Chicago,105383
Alice,35,Chicago,111969
Alice,39,Houston,55182
David,38,New York,106456
Charlie,22,Los Angeles,82457
David,36,Phoenix,124484
Charlie,31,Houston,99656
Eva,55,Los Angeles,51729
David,29,Houston,137932
David,29,Chicago,143663
Alice,50,Phoenix,121055
David,42,Phoenix,103713
Alice,40,New York,148413
Eva,39,Los Angeles,76306
Charlie,24,Phoenix,72683
David,35,Houston,126642
Eva,53,Los Angeles,87528
Alice,20,Chicago,76610
Charlie,35,New York,79028
David,33,Chicago,80061
David,29,Phoenix,105820
Bob,30,Chicago,90885
David,59,Houston,112989
Eva,54,Houston,56493
David,59,Los Angeles,97085
David,21,New York,112877
Bob,28,New York,99105
Bob,20,Houston,52378
Bob,31,Chicago,122360
David,46,Chicago,70510
Charlie,50,Los Angeles,62898
Charlie,39,Phoenix,51176
Eva,41,Phoenix,98521
David,21,Los Angeles,129845
Bob,38,Phoenix,103510
Charlie,48,Houston,136380
David,31,New York,139861
Bob,59,New York,149243
Eva,29,Phoenix,121027
Charlie,44,Phoenix,72278
Charlie,24,Phoenix,126407
Alice,46,New York,53386
Bob,41,Phoenix,136561
Alice,34,Chicago,119898
Eva,49,Chicago,103646
Alice,21,Houston,73794
David,34,Los Angeles,138342
Charlie,20,Houston,51666
Alice,35,New York,118306
Alice,53,Chicago,109304
Bob,52,Los Angeles,85834
Bob,57,Chicago,65178
Alice,25,Phoenix,115459
David,50,New York,57830
Alice,29,Los Angeles,86152
David,27,Houston,65433
Alice,50,New York,95008
Eva,41,Houston,138810
Eva,50,Houston,50855
Alice,28,Houston,112325
Bob,21,Phoenix,116011
David,41,Houston,130694
Eva,28,Chicago,56906
David,20,Los Angeles,128551
Charlie,47,Los Angeles,112573
Bob,45,New York,134665
Bob,49,Chicago,90270
Charlie,27,Houston,88062
Bob,46,Chicago,132720
Eva,51,Houston,139320
Charlie,34,Houston,99942
Eva,39,Los Angeles,69511
Eva,28,Phoenix,84148
Charlie,59,New York,103741
David,49,Los Angeles,117189
David,43,Houston,141645
Bob,33,New York,125784
Charlie,21,Houston,56625
Eva,45,Los Angeles,123326
David,44,Houston,68648
David,50,New York,100856
Bob,36,Houston,54132
Bob,31,Los Angeles,81523
Bob,59,Houston,145366
Bob,27,New York,79977
Charlie,58,Chicago,81982
Alice,41,Chicago,98562
David,44,Phoenix,138325
Bob,57,Phoenix,65527
Eva,56,Los Angeles,70905
David,52,Houston,61897
Bob,29,Houston,110587
Bob,36,Houston,51945
Charlie,55,Los Angeles,54529
Alice,23,Los Angeles,134065
Alice,59,Houston,53130
Charlie,57,New York,53955
Eva,23,Los Angeles,147460
Alice,55,Phoenix,57725
Eva,21,New York,59223
David,23,Chicago,70687
David,31,Houston,109795
Alice,23,Phoenix,80969
Alice,32,Phoenix,59724
David,52,Phoenix,78979
